id,lawd_cd,jibun,umdnm,aptnm,aptdong,floor,buildyear,전용면적타입,전용면적,전용평수,deal_ym,dealyear,dealmonth,dealday,dealamount,buyergbn,cdealday,cdealtype,dealinggbn,estateagentsggnm,landcd,landleaseholdgbn,rgstdate,slergbn,fetched_at
10328,11200,90,송정동,건영,,9,2000,84,84.945,25.7,201501,2015,1,23,37500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10329,11200,710,성수동1가,강변건영아파트,,24,2002,84,84.941,25.7,201501,2015,1,20,60000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10330,11200,710,성수동1가,강변건영아파트,,1,2002,84,84.952,25.7,201501,2015,1,14,50500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10331,11200,347,행당동,대림e-편한세상,,9,2000,84,84.87,25.7,201501,2015,1,11,50000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10332,11200,147,행당동,서울숲삼부아파트,,14,1998,84,84.09,25.5,201501,2015,1,26,59000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10333,11200,835,성수동2가,롯데캐슬파크,,14,2003,84,84.686,25.7,201501,2015,1,28,57000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10334,11200,704,성수동1가,한진타운,,14,1994,59,59.4,18.0,201501,2015,1,7,40200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10335,11200,100,응봉동,대림(1차),,12,1986,75,75.51,22.9,201501,2015,1,17,46000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10336,11200,633,금호동1가,벽산,,20,2001,59,59.9,18.2,201501,2015,1,19,34400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10337,11200,704,성수동1가,한진타운,,12,1994,84,84.21,25.5,201501,2015,1,13,51000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10338,11200,992,하왕십리동,무학현대,,4,1996,84,84.495,25.6,201501,2015,1,15,35900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10339,11200,347,행당동,대림e-편한세상,,5,2000,84,84.87,25.7,201501,2015,1,19,51000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10340,11200,561,옥수동,래미안 옥수 리버젠,,12,2012,84,84.81,25.7,201501,2015,1,2,73000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10341,11200,561,옥수동,래미안 옥수 리버젠,,1,2012,59,59.25,18.0,201501,2015,1,24,51500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10342,11200,656-320,성수동1가,동아,,4,1983,52,52.68,16.0,201501,2015,1,24,41000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10343,11200,250,옥수동,옥수삼성,,19,1999,59,59.7,18.1,201501,2015,1,21,46000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10344,11200,250,옥수동,옥수삼성,,17,1999,84,84.822,25.7,201501,2015,1,21,58000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10345,11200,1662,금호동3가,금호한신,,14,2005,59,59.99,18.2,201501,2015,1,24,42800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10346,11200,428,옥수동,극동,,14,1986,148,148.23,44.9,201501,2015,1,21,78700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10347,11200,1217,금호동2가,래미안하이리버,,16,2012,84,84.97,25.7,201501,2015,1,22,69700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10348,11200,811,상왕십리동,텐즈힐(2단지),,20,2014,127,127.44,38.6,201501,2015,1,28,84000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10349,11200,656-234,성수동1가,서울숲대림,,11,2000,59,59.885,18.1,201501,2015,1,17,43350,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10350,11200,1507,금호동4가,브라운스톤금호,,5,2007,84,84.838,25.7,201501,2015,1,17,52500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10351,11200,347,행당동,대림e-편한세상,,1,2000,114,114.94,34.8,201501,2015,1,28,55000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10352,11200,347,행당동,대림e-편한세상,,5,2000,59,59.96,18.2,201501,2015,1,9,36500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10353,11200,276,응봉동,서울숲리버그린동아아파트,,7,2003,59,59.98,18.2,201501,2015,1,22,38900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10354,11200,15,응봉동,대림강변타운,,13,2001,59,59.76,18.1,201501,2015,1,20,42200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10355,11200,347,행당동,대림e-편한세상,,14,2000,59,59.96,18.2,201501,2015,1,31,38000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10356,11200,1331,금호동3가,두산,,2,1994,59,59.97,18.2,201501,2015,1,6,34500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10357,11200,275,응봉동,신동아,,13,1996,84,84.81,25.7,201501,2015,1,24,39000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10358,11200,834,성수동2가,현대I-PARK,,7,2003,104,104.56,31.7,201501,2015,1,12,59000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10359,11200,800,금호동4가,대우,,19,2001,84,84.96,25.7,201501,2015,1,31,55200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10360,11200,800,금호동4가,대우,,8,2001,114,114.71,34.8,201501,2015,1,20,65800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
